
[Name]
btm_1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], X [ m ], Y [ m ]
-4.99999989e-03, 1.50000001e-03, 1.49999996e-05, -2.11172791e+02, 1.24826384e+00, 0.00000000e+00, -4.99999989e-03, 1.50000001e-03
-4.99999989e-03, 1.41666667e-03, -1.49999996e-05, -2.09215820e+02, 1.40798616e+00, 0.00000000e+00, -4.99999989e-03, 1.41666667e-03
-4.99999989e-03, 1.41666667e-03, 1.49999996e-05, -2.09215820e+02, 1.40798616e+00, 0.00000000e+00, -4.99999989e-03, 1.41666667e-03
-4.99999989e-03, 1.33333332e-03, -1.49999996e-05, -2.06765854e+02, 1.55381942e+00, 0.00000000e+00, -4.99999989e-03, 1.33333332e-03
-4.99999989e-03, 1.33333332e-03, 1.49999996e-05, -2.06765854e+02, 1.55381942e+00, 0.00000000e+00, -4.99999989e-03, 1.33333332e-03
-4.99999989e-03, 1.24999997e-03, -1.49999996e-05, -2.03811783e+02, 1.68576384e+00, 0.00000000e+00, -4.99999989e-03, 1.24999997e-03
-4.99999989e-03, 1.24999997e-03, 1.49999996e-05, -2.03811783e+02, 1.68576384e+00, 0.00000000e+00, -4.99999989e-03, 1.24999997e-03
-4.99999989e-03, 1.16666663e-03, -1.49999996e-05, -2.00349655e+02, 1.80381942e+00, 0.00000000e+00, -4.99999989e-03, 1.16666663e-03
-4.99999989e-03, 1.16666663e-03, 1.49999996e-05, -2.00349655e+02, 1.80381942e+00, 0.00000000e+00, -4.99999989e-03, 1.16666663e-03
-4.99999989e-03, 1.08333328e-03, -1.49999996e-05, -1.96384888e+02, 1.90798616e+00, 0.00000000e+00, -4.99999989e-03, 1.08333328e-03
-4.99999989e-03, 1.08333328e-03, 1.49999996e-05, -1.96384888e+02, 1.90798616e+00, 0.00000000e+00, -4.99999989e-03, 1.08333328e-03
-4.99999989e-03, 1.00000005e-03, -1.49999996e-05, -1.91920654e+02, 1.99826384e+00, 0.00000000e+00, -4.99999989e-03, 1.00000005e-03
-4.99999989e-03, 1.00000005e-03, 1.49999996e-05, -1.91920654e+02, 1.99826384e+00, 0.00000000e+00, -4.99999989e-03, 1.00000005e-03
-4.99999989e-03, 9.16666642e-04, -1.49999996e-05, -1.86958313e+02, 2.07465267e+00, 0.00000000e+00, -4.99999989e-03, 9.16666642e-04
-4.99999989e-03, 9.16666642e-04, 1.49999996e-05, -1.86958313e+02, 2.07465267e+00, 0.00000000e+00, -4.99999989e-03, 9.16666642e-04
-4.99999989e-03, 8.33333354e-04, -1.49999996e-05, -1.81427032e+02, 2.13715267e+00, 0.00000000e+00, -4.99999989e-03, 8.33333354e-04
-4.99999989e-03, 8.33333354e-04, 1.49999996e-05, -1.81427032e+02, 2.13715267e+00, 0.00000000e+00, -4.99999989e-03, 8.33333354e-04
-4.99999989e-03, 7.50000007e-04, -1.49999996e-05, -1.75553223e+02, 2.18576384e+00, 0.00000000e+00, -4.99999989e-03, 7.50000007e-04
-4.99999989e-03, 7.50000007e-04, 1.49999996e-05, -1.75553223e+02, 2.18576384e+00, 0.00000000e+00, -4.99999989e-03, 7.50000007e-04
-4.99999989e-03, 6.66666660e-04, -1.49999996e-05, -1.69906738e+02, 2.22048616e+00, 0.00000000e+00, -4.99999989e-03, 6.66666660e-04
-4.99999989e-03, 6.66666660e-04, 1.49999996e-05, -1.69906738e+02, 2.22048616e+00, 0.00000000e+00, -4.99999989e-03, 6.66666660e-04
-4.99999989e-03, 5.83333313e-04, -1.49999996e-05, -1.64694275e+02, 2.24131942e+00, 0.00000000e+00, -4.99999989e-03, 5.83333313e-04
-4.99999989e-03, 5.83333313e-04, 1.49999996e-05, -1.64694275e+02, 2.24131942e+00, 0.00000000e+00, -4.99999989e-03, 5.83333313e-04
-4.99999989e-03, 5.00000024e-04, -1.49999996e-05, -1.59927124e+02, 2.24826384e+00, 0.00000000e+00, -4.99999989e-03, 5.00000024e-04
-4.99999989e-03, 5.00000024e-04, 1.49999996e-05, -1.59927124e+02, 2.24826384e+00, 0.00000000e+00, -4.99999989e-03, 5.00000024e-04
-4.99999989e-03, 4.16666677e-04, -1.49999996e-05, -1.55820084e+02, 2.24131942e+00, 0.00000000e+00, -4.99999989e-03, 4.16666677e-04
-4.99999989e-03, 4.16666677e-04, 1.49999996e-05, -1.55820084e+02, 2.24131942e+00, 0.00000000e+00, -4.99999989e-03, 4.16666677e-04
-4.99999989e-03, 3.33333330e-04, -1.49999996e-05, -1.52375626e+02, 2.22048616e+00, 0.00000000e+00, -4.99999989e-03, 3.33333330e-04
-4.99999989e-03, 3.33333330e-04, 1.49999996e-05, -1.52375626e+02, 2.22048616e+00, 0.00000000e+00, -4.99999989e-03, 3.33333330e-04
-4.99999989e-03, 2.50000012e-04, -1.49999996e-05, -1.49564240e+02, 2.18576384e+00, 0.00000000e+00, -4.99999989e-03, 2.50000012e-04
-4.99999989e-03, 2.50000012e-04, 1.49999996e-05, -1.49564240e+02, 2.18576384e+00, 0.00000000e+00, -4.99999989e-03, 2.50000012e-04
-4.99999989e-03, 1.66666665e-04, -1.49999996e-05, -1.47224152e+02, 2.13715267e+00, 0.00000000e+00, -4.99999989e-03, 1.66666665e-04
